word,pos,frequency
vector bundle!orientation,NA,2
vector bundle!surjective,NA,2
vector bundlevirtual,NA,2
vector field,NA,2
vectors d-space,NA,2
verify,NN,2
version pages,NA,2
versiond-orbifold!and,JJ,2
versions d-manifold,NA,2
versions d-orbifolds,NA,2
versions manifolds,NA,2
vi,JJ,2
vii,NN,2
viii,JJ,2
viii Let,NA,2
virtual class|,NA,2
w-embedded sw-embedded,NA,2
w-immersed d-suborbifold,NA,2
w-immersed sw-immersed,NA,2
w-immersion representable,NA,2
w-immersion sf-embedding,NA,2
w-immersion sf-immersion,NA,2
w-immersion weakly,NA,2
w-submersion weakly,NA,2
w[rrr],NN,2
w[rrr] Also,NA,2
wanting,VBG,2
wants,VBZ,2
way Orbifold,NA,2
weak strong,NA,2
weaker functorial,NA,2
weakly,NN,2
weakly functorial,NA,2
well behaved,NA,2
well identify,NA,2
well sufficient,NA,2
well-behaved 2-category,NA,2
whenever,NN,2
whenever following,NA,2
whether,IN,2
wholly differential-geometric,NA,2
whose co,NA,2
whose linearization,NA,2
whose stabilizer,NA,2
work,VBP,2
work Fukaya,NA,2
work author,NA,2
work one,NA,2
works,NNS,2
works oriented,NA,2
would also,NA,2
would exist,NA,2
would false,NA,2
write,IN,2
write 1-morphism,NA,2
write Let,NA,2
write call,NA,2
write category,NA,2
write closed,NA,2
write cotangent,NA,2
write explicitly,NA,2
write moduli,NA,2
write quotient,NA,2
write similarly,NA,2
write t`standard,NA,2
write virtual,NA,2
write zeroes,NA,2
written 1-morphisms,NA,2
written diagram,NA,2
written disjoint,NA,2
written explicitly,NA,2
x&},VBP,2
x',VBP,2
x'=,NNP,2
x'= y',NA,2
x+,NNP,2
x=,NNP,2
x= y',NA,2
x=0,NNP,2
xX yY,NA,2
xi,NNP,2
xi Let,NA,2
y',NNS,2
y',RB,2
y' Define,NA,2
y' i=1,NA,2
y' x'=,NA,2
y' x=,NA,2
y' z',NA,2
y'],NN,2
y'],NNS,2
y'] ds12eq1,NA,2
y'] ds12eq2,NA,2
y'] ds13eq2,NA,2
y'] ds13eq3,NA,2
y'] x',NA,2
y'] y',NA,2
y=f j}={,NA,2
yield,VBP,2
yielding,VBG,2
yields Let,NA,2
z' x',NA,2
z' y',NA,2
zero 0=,NA,2
zero dg-algebras,NA,2
zeroes,NNS,2
zeroes,VBZ,2
0* category,NA,1
0* equation,NA,1
0/{1}] Example<ref>,NA,1
0/{1}]&=,CD,1
0/{1}]&= main,NA,1
0/{1}]= Example<ref>,NA,1
0/{1}]= i=0,NA,1
0/{1}]= i{1},NA,1
05em 1em,NA,1
05em top,NA,1
07em 07emj,NA,1
07emj,CD,1
07emj 1em,NA,1
0= One,NA,1
0= nontrivial,NA,1
0==F,CD,1
0==F manifold,NA,1
0=F Many,NA,1
0=F Note,NA,1
0=F d-orbifold,NA,1
0=F f[d],NA,1
0=F notation,NA,1
0=F using,NA,1
0A,CD,1
0A differentials,NA,1
0C,CD,1
0C d-stack,NA,1
0] 1},NA,1
0] Topologically,NA,1
0] derived,NA,1
1' 0',NA,1
1' One,NA,1
1' a',NA,1
1' j',NA,1
1' l',NA,1
1' maps,NA,1
1+,CD,1
1+ let,NA,1
1+I,CD,1
1+I n+I,NA,1
1-,CD,1
1- 2-morphism,NA,1
1- 2-morphismsd-manifold!standard,NA,1
1- category,NA,1
1- morphismC-stack@C,NA,1
1- supported,NA,1
1-- 4]Joyc6,NA,1
1--104,JJ,1
1--104 Fantechi,NA,1
1-1,JJ,1
1-1 correspondence,NA,1
1-g,JJ,1
1-g X=2n,NA,1
1-i,JJ,1
1-i general,NA,1
1-isomorphic,JJ,1
1-isomorphic part,NA,1
1-isomorphism,NN,1
1-isomorphism Example,NA,1
1-isomorphism Let,NA,1
1-isomorphism d-manifold,NA,1
1-isomorphism d-orbifold,NA,1
1-isomorphism d-orbifold!standard,NA,1
1-isomorphism describe,NA,1
1-isomorphism k/S,NA,1
1-isomorphism manifolds,NA,1
1-isomorphism objects,NA,1
1-isomorphism second,NA,1
1-isomorphism smooth,NA,1
1-isomorphism underlying,NA,1
1-isomorphism use,NA,1
1-isomorphisms 2]Joyc6,NA,1
1-isomorphisms 7]Joyc6,NA,1
1-isomorphisms construction,NA,1
1-isomorphisms equivalence,NA,1
1-morphism,NNP,1
1-morphism 0=,NA,1
1-morphism 2X,NA,1
1-morphism Also,NA,1
1-morphism C-stack@C,NA,1
1-morphism Equation,NA,1
1-morphism Equivalences,NA,1
1-morphism Equivalently,NA,1
1-morphism Example<ref>,NA,1
1-morphism Motivated,NA,1
1-morphism One,NA,1
1-morphism Remark,NA,1
1-morphism Theorem<ref>,NA,1
1-morphism Thus,NA,1
1-morphism Using,NA,1
1-morphism W',NA,1
1-morphism applying,NA,1
1-morphism associated,NA,1
1-morphism called,NA,1
1-morphism cannot,NA,1
1-morphism categories,NA,1
1-morphism complex,NA,1
1-morphism composition,NA,1
1-morphism d-manifold!standard,NA,1
1-morphism d-orbifold!standard,NA,1
1-morphism d-orbifold!w-submersion|,NA,1
1-morphism depend,NA,1
1-morphism diagram,NA,1
1-morphism ds3eq1,NA,1
1-morphism ds4eq8,NA,1
1-morphism equivalent,NA,1
1-morphism equivariance,NA,1
1-morphism exact,NA,1
1-morphism express,NA,1
"1-morphism f""",NA,1
1-morphism flatd-orbifold,NA,1
1-morphism functor,NA,1
1-morphism get,NA,1
1-morphism given,NA,1
1-morphism group,NA,1
1-morphism identified,NA,1
1-morphism inclusion,NA,1
1-morphism induces,NA,1
1-morphism kind,NA,1
1-morphism lifts,NA,1
1-morphism local,NA,1
1-morphism manifold,NA,1
1-morphism means,NA,1
1-morphism morphisms,NA,1
1-morphism n-k,NA,1
1-morphism n/H],NA,1
1-morphism n=->,NA,1
1-morphism n>,NA,1
1-morphism notation,NA,1
1-morphism orientation-preserving,NA,1
1-morphism projection,NA,1
1-morphism property,NA,1
1-morphism quasicoherent,NA,1
1-morphism s/],NA,1
1-morphism semisimple,NA,1
1-morphism simple,NA,1
1-morphism stack|,NA,1
1-morphism strongly,NA,1
1-morphism subset,NA,1
1-morphism turns,NA,1
1-morphism type,NA,1
1-morphism universally,NA,1
1-morphism using,NA,1
1-morphism w=f,NA,1
1-morphism weakly,NA,1
1-morphism whose,NA,1
1-morphism y=f,NA,1
1-morphismC-stack@C,JJ,1
1-morphismC-stack@C,NNS,1
1-morphismC-stack@C 1-morphismC-stack@C,NA,1
1-morphismC-stack@C closed,NA,1
1-morphismDeligne--Mumford,JJ,1
1-morphismDeligne--Mumford 1-morphism,NA,1
1-morphismd-manifold corners!flat,NA,1
1-morphismd-manifold corners!s-embedding|,NA,1
1-morphismd-orbifold corners!flat,NA,1
1-morphismd-orbifold corners!s-immersion|,NA,1
1-morphismd-orbifold corners!standard,NA,1
1-morphismd-space corners!semisimple,NA,1
1-morphismd-stack!quotients,NNS,1
1-morphismd-stack!quotients 1-morphism,NA,1
1-morphismd-stack!representable,JJ,1
1-morphismd-stack!representable 1-morphismDeligne--Mumford,NA,1
1-morphisms 1--,NA,1
1-morphisms 2-category!1-morphism!composition,NA,1
1-morphisms 2-isomorphisms,NA,1
1-morphisms 3]Joyc6,NA,1
1-morphisms C-stack@C,NA,1
1-morphisms Composition,NA,1
1-morphisms Example,NA,1
1-morphisms Examples,NA,1
1-morphisms Given,NA,1
1-morphisms Lemma,NA,1
1-morphisms One,NA,1
1-morphisms Pulling,NA,1
1-morphisms Suppose,NA,1
1-morphisms Thus,NA,1
1-morphisms Zariski,NA,1
1-morphisms action,NA,1
1-morphisms also,NA,1
1-morphisms applies,NA,1
1-morphisms c-transverse,NA,1
1-morphisms characterize,NA,1
1-morphisms characterized,NA,1
1-morphisms compose,NA,1
1-morphisms composition,NA,1
1-morphisms correspond,NA,1
1-morphisms d-orbifolds,NA,1
1-morphisms d-stacks,NA,1
1-morphisms define,NA,1
1-morphisms defined,NA,1
1-morphisms ds10eq5,NA,1
1-morphisms ds12eq5,NA,1
1-morphisms ds13eq9,NA,1
1-morphisms ds15eq1,NA,1
1-morphisms ds3eq2,NA,1
1-morphisms ds8eq3,NA,1
1-morphisms e',NA,1
1-morphisms e=,NA,1
1-morphisms easy,NA,1
1-morphisms equal,NA,1
1-morphisms equivalence,NA,1
1-morphisms equivalent,NA,1
1-morphisms example,NA,1
1-morphisms expressed,NA,1
1-morphisms first,NA,1
1-morphisms form,NA,1
1-morphisms forming,NA,1
1-morphisms hence,NA,1
1-morphisms ii,NA,1
1-morphisms implies,NA,1
1-morphisms kind,NA,1
1-morphisms m=F,NA,1
1-morphisms many,NA,1
1-morphisms map,NA,1
1-morphisms mapping,NA,1
1-morphisms maps,NA,1
1-morphisms near,NA,1
1-morphisms need,NA,1
1-morphisms next,NA,1
1-morphisms objects,NA,1
1-morphisms oriented,NA,1
1-morphisms require,NA,1
1-morphisms s/][,NA,1
1-morphisms second,NA,1
1-morphisms simple,NA,1
1-morphisms smooth,NA,1
1-morphisms things,NA,1
1-morphisms thus,NA,1
1-morphisms underlying,NA,1
1-morphisms vertical,NA,1
1-morphisms would,NA,1
1-morphisms write,NA,1
1-morphisms x',NA,1
1-morphisms y',NA,1
1-morphisms z',NA,1
1-morphisms',CD,1
1-morphisms' locally,NA,1
1-morphismsC-stack@C,JJ,1
1-morphismsC-stack@C representable,NA,1
1-morphismsd-space,JJ,1
1-morphismsd-space corners!simple,NA,1
1-morphismsorbifold,JJ,1
1-morphismsorbifold corners!boundary|,NA,1
1-morphisms| Deligne--Mumford,NA,1
1-morphisms| Fixed,NA,1
1-morphisms| Let,NA,1
1-morphisms| Suppose,NA,1
1-morphisms| cd-transversality|,NA,1
1-morphisms| d-manifold,NA,1
1-morphism| 3]Joyc6,NA,1
1-morphism| 6]Joyc6,NA,1
1-morphism| Equivalences,NA,1
1-morphism| Let,NA,1
1-morphism| Manifolds,NA,1
1-morphism| Quotient,NA,1
1-morphism| Section,NA,1
1-morphism| Strongly,NA,1
1-morphism| d-orbifold!equivalence|,NA,1
1-morphism| equivalence,NA,1
1-morphism| f=,NA,1
1-morphism| fi,NA,1
1-morphism| injective,NA,1
1-morphism| smooth,NA,1
1-},JJ,1
1-} subordinate,NA,1
1/r-e,JJ,1
1/r-e respectively,NA,1
10]Joyc4,CD,1
10]Joyc4 study,NA,1
10]Joyc6 discuss,NA,1
10]Joyc6 generalize,NA,1
10]Joyc6 material,NA,1
11]FOOO,CD,1
11]FOOO good,NA,1
11]Joyc4 C-stack@C,NA,1
11]Joyc4 see,NA,1
11]Joyc6,CD,1
11]Joyc6 define,NA,1
11pt,CD,1
11pt d-space!fibre,NA,1
12]Joyc4,CD,1
12]Joyc4 space,NA,1
12]Joyc6,CD,1
12]Joyc6 discuss,NA,1
139--198,JJ,1
139--198 arXiv,NA,1
13]BEFF,CD,1
13]BEFF actually,NA,1
13]Joyc6,CD,1
13]Joyc6 discuss,NA,1
13]Thur,CD,1
13]Thur Satake,NA,1
141--154,JJ,1
141--154 et,NA,1
14]Joyc6 deduce,NA,1
14]Joyc6 study,NA,1
15]Joyc4,CD,1
15]Joyc4 analogue,NA,1
15]Spiv,CD,1
15]Spiv analogue,NA,1
15em 15emr,NA,1
15em 15ems,NA,1
15em 15emt,NA,1
15em 1emK,NA,1
15emr,CD,1
15emr 15em,NA,1
15ems,CD,1
15ems 15em,NA,1
15emt,CD,1
15emt 1em,NA,1
173--216,JJ,1
173--216 Axiomatic,NA,1
17]Joyc4,CD,1
17]Joyc4 properties,NA,1
1< a<b<,NA,1
1< j<,NA,1
1=0},CD,1
1=0} 2=0}},NA,1
1=d,CD,1
1=d write,NA,1
1=f 2=f,NA,1
1=f write,NA,1
1=i,CD,1
1=i use,NA,1
1[,CD,1
1[ 2],NA,1
1] compact,NA,1
1] compatible,NA,1
1] k],NA,1
1]CiKa,CD,1
1]CiKa differential,NA,1
1]Conn,CD,1
1]Conn natural,NA,1
1]FuOn,CD,1
1]FuOn discussed,NA,1
1]HWZ6 1]HWZ6,NA,1
1]HWZ6 gluing,NA,1
1]Hart,CD,1
1]Hart morphism,NA,1
1]Joyc4 construction,NA,1
1]Joyc4 define,NA,1
1]Joyc4 gives,NA,1
1]Joyc6 analogues,NA,1
1]Joyc6 explains,NA,1
1]Joyc6 first,NA,1
1]Joyc6 review,NA,1
1]Vist,CD,1
1]Vist One,NA,1
1][0,CD,1
1][0 language,NA,1
1]},CD,1
1]} Write,NA,1
1em 1emS,NA,1
1em 1em[DMCSta]2-category,NA,1
1em 1emcdef,NA,1
1em 1emi,NA,1
1em 1emk,NA,1
1em 1emm,NA,1
1em 1emq,NA,1
1em 1emu,NA,1
1em 1emv,NA,1
1em 2Y,NA,1
1em CCPRP,NA,1
1em d-orbifolds,NA,1
1em ijk,NA,1
1em mab,NA,1
1em write,NA,1
1emK,CD,1
1emK 1em,NA,1
1emS,CD,1
1emS 25em,NA,1
1em[DMCSta]2-category,JJ,1
1em[DMCSta]2-category Deligne--Mumford,NA,1
1emcdef,CD,1
1emcdef 1em,NA,1
1emi,CD,1
1emi 07em,NA,1
1emk,CD,1
1emk 1em,NA,1
1emm,CD,1
1emm 1em,NA,1
1emq,CD,1
1emq 15em,NA,1
1emu,CD,1
1emu 1em,NA,1
1emv,CD,1
1emv 15em,NA,1
1pc/[ddd] d-orbifold,NA,1
1},CD,1
1} point,NA,1
1}],CD,1
1}] locally,NA,1
2& c+I,NA,1
2& f+I,NA,1
2&= 2=,NA,1
2&= 2],NA,1
2&= 4&=,NA,1
2+ 2=1},NA,1
2+ 3[dr],NA,1
2- 1=d,NA,1
2- Cartesian,NA,1
2- category,NA,1
2- commutes,NA,1
2- morphismC-stack@C,NA,1
2- morphismd-space!2-morphism2-category!2-morphism,NA,1
2- morphisms,NA,1
2- subcategory,NA,1
2--,JJ,1
2-- 6]Joyc4,NA,1
2-Cartesian 2-category!2-Cartesian,NA,1
2-Cartesian b-transverse,NA,1
2-Cartesian d-space,NA,1
2-Cartesian d-stack,NA,1
2-Cartesian diagram,NA,1
2-Cartesian diagrams,NA,1
2-Cartesian following,NA,1
2-Cartesian square,NA,1
2-Cartesian square2-category!2-Cartesian,NA,1
2-categorical behaviour,NA,1
2-categories 2-category!strict,NA,1
2-categories Define,NA,1
2-categories Fibre,NA,1
2-categories One,NA,1
2-categories b],NA,1
2-categories called,NA,1
2-categories classical,NA,1
2-categories explained,NA,1
2-categories general,NA,1
2-categories lie,NA,1
2-categories one,NA,1
2-categories pages,NA,1
2-categories rather,NA,1
2-categories respectively,NA,1
2-categories restriction,NA,1
2-categories result,NA,1
2-categories see,NA,1
2-categories simplest,NA,1
2-categories strictified,NA,1
2-categories symplectic,NA,1
2-categories turn,NA,1
2-categories weak,NA,1
2-categories2-category!fibre,JJ,1
2-categories2-category!fibre products,NA,1
2-categories2-category!weak,JJ,1
2-categories2-category!weak structure,NA,1
2-categories2-category|,JJ,1
2-categories2-category| category!2-category|see2-category,NA,1
2-categoriescategory|,CD,1
2-categoriescategory| category!abelian|seeabelian,NA,1
2-category 1-morphism,NA,1
2-category 1-morphisms,NA,1
2-category 2-category,NA,1
2-category 2-category!strict,NA,1
2-category 2-isomorphism,NA,1
2-category 2-term,NA,1
2-category C-stack@C,NA,1
2-category C2-category!pushoutpushout,NA,1
2-category Deligne--Mumford,NA,1
2-category Gpoid,NA,1
2-category Ignoring,NA,1
2-category Let,NA,1
2-category Suppose,NA,1
2-category also,NA,1
2-category called,NA,1
2-category categories,NA,1
2-category complexes,NA,1
2-category compositions,NA,1
2-category could,NA,1
2-category d-manifoldsd-manifold|,NA,1
2-category d-orbifoldsd-orbifold|,NA,1
2-category d-space,NA,1
2-category d-spacesd-space|,NA,1
2-category d-stack,NA,1
2-category d-stacksd-stack|,NA,1
2-category done,NA,1
2-category equivalent,NA,1
2-category is2-category!2-commutative,NA,1
2-category made,NA,1
2-category objects,NA,1
2-category obvious,NA,1
2-category one,NA,1
2-category point,NA,1
2-category proof,NA,1
2-category putting,NA,1
2-category satisfy,NA,1
2-category satisfying,NA,1
2-category seems,NA,1
2-category separated,NA,1
2-category strict,NA,1
2-category style,NA,1
2-category sufficient,NA,1
2-category three,NA,1
2-category together,NA,1
2-category two,NA,1
2-category whose,NA,1
2-category work,NA,1
2-category!1-morphism,CD,1
2-category!1-morphism written,NA,1
2-category!1-morphism!composition,JJ,1
2-category!1-morphism!composition written,NA,1
2-category!2-Cartesian square,NA,1
2-category!2-Cartesian square@C=140pt@R=10pt,NA,1
2-category!2-morphism,CD,1
2-category!2-morphism written,NA,1
2-category!2-morphism!horizontal,JJ,1
2-category!2-morphism!horizontal composition,NA,1
2-category!equivalence,JJ,1
2-category!equivalence 1-morphisms,NA,1
2-category!homotopy category|,NA,1
2-category!limit2-category!colimit,JJ,1
2-category!limit2-category!colimit 7]Borc,NA,1
2-category!strict consists,NA,1
2-category!strict rather,NA,1
2-category2-category 2-morphisms,NA,1
2-category2-category a],NA,1
2-category2-category orbifolds,NA,1
2-category2-category!weak bicategory,NA,1
2-category2-category!weak localization,NA,1
2-category2-category!weak weak,NA,1
2-categoryd-transversality|,JJ,1
2-categoryd-transversality| d-manifold!d-transverse,NA,1
2-category| One,NA,1
2-category| Write,NA,1
2-category| d-space,NA,1
2-category| orbifold,NA,1
2-commutative diagram2-category!2-commutative,NA,1
2-commutative diagrams2-category!2-commutative,NA,1
2-dimensional,JJ,1
2-dimensional orbifolds,NA,1
2-functor 1-morphisms,NA,1
2-functor 2-category!strict,NA,1
2-functor Analogues,NA,1
2-functor Definition,NA,1
2-functor Let,NA,1
2-functor Local,NA,1
2-functor Since,NA,1
2-functor Weaker,NA,1
2-functor Write,NA,1
2-functor also,NA,1
2-functor category,NA,1
2-functor dSpa,NA,1
2-functor examples,NA,1
2-functor mapping,NA,1
2-functor noting,NA,1
2-functor object,NA,1
2-functor preserves,NA,1
2-functor2-category!weak,JJ,1
2-functor2-category!weak 2-functor,NA,1
2-functorial d-space,NA,1
2-functorial rather,NA,1
2-functors,JJ,1
2-functors called,NA,1
2-functors d-space,NA,1
2-functors take,NA,1
2-isomorphic equivalences,NA,1
2-isomorphic may,NA,1
2-isomorphic next,NA,1
2-isomorphic overlap,NA,1
2-isomorphic unique,NA,1
2-isomorphism,NN,1
2-isomorphism 1-morphism,NA,1
2-isomorphism 2-commutative,NA,1
2-isomorphism Boundaries,NA,1
2-isomorphism Deligne--Mumford,NA,1
2-isomorphism Note,NA,1
2-isomorphism Proposition,NA,1
2-isomorphism choice,NA,1
2-isomorphism define,NA,1
2-isomorphism ds8eq2,NA,1
2-isomorphism e*,NA,1
2-isomorphism equality,NA,1
2-isomorphism exist,NA,1
2-isomorphism fact,NA,1
2-isomorphism general,NA,1
2-isomorphism generalizations,NA,1
2-isomorphism get,NA,1
2-isomorphism holds,NA,1
2-isomorphism morphisms,NA,1
2-isomorphism occasionally,NA,1
2-isomorphism one,NA,1
2-isomorphism rather,NA,1
2-isomorphism require,NA,1
2-isomorphisms 2-category,NA,1
2-isomorphisms Usually,NA,1
2-isomorphisms commutes,NA,1
2-isomorphisms e',NA,1
2-isomorphisms full,NA,1
2-isomorphisms inverse,NA,1
2-isomorphisms part,NA,1
2-isomorphisms point,NA,1
2-isomorphisms rather,NA,1
2-k,JJ,1
2-k canonical,NA,1
2-limits,JJ,1
2-limits bilimits,NA,1
2-morphism 2-morphisms,NA,1
2-morphism 2-natural,NA,1
2-morphism 2=f,NA,1
2-morphism C-stack@C,NA,1
2-morphism Deligne--Mumford,NA,1
2-morphism Mapping,NA,1
2-morphism Proposition,NA,1
2-morphism Since,NA,1
2-morphism Theorem<ref>,NA,1
2-morphism Thus,NA,1
2-morphism Two,NA,1
2-morphism Write,NA,1
2-morphism authors,NA,1
2-morphism d-manifold!standard,NA,1
2-morphism d-orbifold,NA,1
2-morphism d-orbifold!standard,NA,1
2-morphism data,NA,1
2-morphism define,NA,1
2-morphism diagram,NA,1
2-morphism ds11eq3,NA,1
2-morphism fibre,NA,1
2-morphism following,NA,1
2-morphism full,NA,1
2-morphism g=,NA,1
2-morphism h',NA,1
2-morphism i[,NA,1
2-morphism ijk=[,NA,1
2-morphism let,NA,1
2-morphism model',NA,1
2-morphism morphism,NA,1
2-morphism pair,NA,1
2-morphism quotient,NA,1
2-morphism satisfying,NA,1
2-morphism thatd-stack,NA,1
2-morphism thatorbifold,NA,1
2-morphism using,NA,1
2-morphism verify,NA,1
2-morphism virtual,NA,1
2-morphism zero,NA,1
2-morphismd-stack!quotients,NNS,1
2-morphismd-stack!quotients 2-morphism,NA,1
2-morphisms,CD,1
2-morphisms 1-,NA,1
2-morphisms 2-category!2-morphism!horizontal,NA,1
2-morphisms 2-morphisms,NA,1
2-morphisms 3]Joyc6,NA,1
2-morphisms Definition,NA,1
2-morphisms Example,NA,1
2-morphisms Identity,NA,1
2-morphisms Let,NA,1
2-morphisms Similarly,NA,1
2-morphisms Theorems,NA,1
2-morphisms Thus,NA,1
2-morphisms Zariski,NA,1
2-morphisms across,NA,1
2-morphisms basic,NA,1
2-morphisms call,NA,1
2-morphisms commutes,NA,1
2-morphisms completes,NA,1
2-morphisms composition,NA,1
2-morphisms d-manifold!standard,NA,1
2-morphisms d-orbifold!standard,NA,1
2-morphisms d-space,NA,1
2-morphisms d-stack!fibre,NA,1
2-morphisms defined,NA,1
2-morphisms discrete,NA,1
2-morphisms dsAeq2,NA,1
2-morphisms effective,NA,1
2-morphisms either,NA,1
2-morphisms equivalence,NA,1
2-morphisms fact,NA,1
2-morphisms flatd-stack,NA,1
2-morphisms form,NA,1
2-morphisms h',NA,1
2-morphisms homotopy,NA,1
2-morphisms i',NA,1
2-morphisms ijk=[0,NA,1
2-morphisms independent,NA,1
2-morphisms instance,NA,1
2-morphisms interact,NA,1
2-morphisms invertible,NA,1
2-morphisms isomorphism,NA,1
2-morphisms j[,NA,1
2-morphisms kind,NA,1
2-morphisms lift,NA,1
2-morphisms locally,NA,1
2-morphisms must,NA,1
2-morphisms near,NA,1
2-morphisms next,NA,1
2-morphisms one,NA,1
2-morphisms orbifold!effective|,NA,1
2-morphisms regarded,NA,1
2-morphisms simple,NA,1
2-morphisms smooth,NA,1
2-morphisms special,NA,1
2-morphisms take,NA,1
2-morphisms underlying,NA,1
2-morphisms using,NA,1
2-morphisms well-behaved,NA,1
2-morphisms wholly,NA,1
2-morphismsd-manifold!standard,JJ,1
2-morphismsd-manifold!standard model|,NA,1
2-natural,JJ,1
2-natural transformation,NA,1
2-step,JJ,1
2-step supercommutative,NA,1
2-subcategories d-manifolds,NA,1
2-subcategories d-orbifolds,NA,1
2-subcategories orbifolds,NA,1
2-subcategories respectively,NA,1
2-subcategories say,NA,1
2-subcategories2-category,JJ,1
2-subcategories2-category Deligne--Mumford,NA,1
2-subcategory Many,NA,1
2-subcategory Write,NA,1
2-subcategory arbitrary,NA,1
2-subcategory d-orbifolds,NA,1
2-subcategory disjoint,NA,1
2-subcategory eff,NA,1
2-subcategory functor,NA,1
2-subcategory introduction,NA,1
2-subcategory orbifold,NA,1
2-subcategory orbifolds,NA,1
2-subcategory pr,NA,1
2-subcategory representable,NA,1
2-subcategory virtual,NA,1
2-term,JJ,1
2-term complexes,NA,1
2-x,JJ,1
2-x 4},NA,1
2/ 2=,NA,1
2/ follows,NA,1
200--208,JJ,1
200--208 Behr,NA,1
205--222,JJ,1
205--222 Adem,NA,1
206--293,JJ,1
206--293 arXiv,NA,1
225--258,JJ,1
225--258 Janeczko,NA,1
2279--2387,JJ,1
2279--2387 arXiv,NA,1
243--303,JJ,1
243--303 Sata,NA,1
25--86,JJ,1
25--86 Adem,NA,1
25em 2emV,NA,1
27]Joyc4,CD,1
27]Joyc4 Since,NA,1
285--341,JJ,1
285--341 math,NA,1
28em columns,NA,1
28em d-space,NA,1
28em d-stack,NA,1
28em rows,NA,1
299--319,JJ,1
299--319 Drus2,NA,1
299--325,JJ,1
299--325 Cao,NA,1
2<,CD,1
2< 2-x,NA,1
2= 2=,NA,1
2= 2[,NA,1
2= 2],NA,1
2= Therefore,NA,1
2= acts,NA,1
2=0}},CD,1
2=0}} single,NA,1
2=1 act,NA,1
2=1 let,NA,1
2=1},CD,1
2=1} oriented,NA,1
2=F,CD,1
2=F form,NA,1
2=f 3=f,NA,1
2=f 5ex>@,NA,1
2=f ds3eq3,NA,1
2=f identity,NA,1
2=fg,CD,1
2=fg square,NA,1
2={1 2=1,NA,1
2={1 act,NA,1
2@< 5ex>@,NA,1
2@< 5ex>[d],NA,1
2X bijection,NA,1
2X called,NA,1
2X given,NA,1
2X injective,NA,1
2X natural,NA,1
2X projection,NA,1
2X=,CD,1
2X= s-embedding,NA,1
2Y,CD,1
2Y 2Z,NA,1
2Z,CD,1
2Z 1em,NA,1
2[,CD,1
2[ 2],NA,1
2[rr],CD,1
2[rr] 3[r],NA,1
2] 2=,NA,1
2] 4&=,NA,1
2] Hence,NA,1
2] dimensions,NA,1
2] ds8eq4,NA,1
2] fixed,NA,1
2] let,NA,1
2] see,NA,1
2]=[*/,CD,1
2]=[*/ 2],NA,1
2]BeXu,CD,1
2]BeXu Lerman,NA,1
2]Conn,CD,1
2]Conn compute,NA,1
2]FOOO,CD,1
2]FOOO Kuranishi,NA,1
2]HWZ5,CD,1
2]HWZ5 1]HWZ6,NA,1
2]Joyc3 5]Joyc6,NA,1
2]Joyc3 involves,NA,1
2]Joyc3 smooth,NA,1
2]Joyc4,CD,1
2]Joyc4 spectrum,NA,1
2]Joyc6 D-spaces,NA,1
2]Joyc6 Let,NA,1
2]Joyc6 alternative,NA,1
2]Joyc6 analogue,NA,1
2]Joyc6 combine,NA,1
2]Joyc6 equivalence,NA,1
2]Joyc6 extend,NA,1
2]Joyc6 lift,NA,1
2]Joyc6 proved,NA,1
2]Joyc6 show,NA,1
2]Joyc6 similar,NA,1
2]Luri1,CD,1
2]Luri1 requires,NA,1
2][x,CD,1
2][x 2],NA,1
2em 1em,NA,1
2emV,CD,1
2emV 25em,NA,1
2ex>[d],CD,1
2ex>[d] 5ex>[d],NA,1
2ex>[r],CD,1
2ex>[r] homotopy,NA,1
2ex>[rr] 2ex>[r],NA,1
2ex>[rr] 2ex>[rr],NA,1
2g+m<3 2k,NA,1
2g+m<3 ev,NA,1
2g+m> homology,NA,1
2g+m> projection,NA,1
2g+m>3,CD,1
2g+m>3 k=c,NA,1
2k 2g+m>,NA,1
2k 2g+m>3,NA,1
2m,CD,1
2m generic,NA,1
2m+1,CD,1
2m+1 exists,NA,1
2n,CD,1
2n almost,NA,1
2{0},CD,1
2{0} contrast,NA,1
3--21,JJ,1
3--21 Moerdijk,NA,1
3-category,JJ,1
3-category fact,NA,1
3-fold Calabi--Yau,NA,1
3-fold Fano,NA,1
3-fold Gromov--Witten,NA,1
3-fold ThomasThom,NA,1
3-fold ix,NA,1
3-fold moduli,NA,1
3-fold separated,NA,1
3-fold smooth,NA,1
3-fold stable,NA,1
3-foldCalabi--Yau,JJ,1
3-foldCalabi--Yau 3-fold,NA,1
3-foldmoduli,JJ,1
3-foldmoduli space|,NA,1
3-folds,JJ,1
3-folds,NNS,1
3-folds Calabi--Yau,NA,1
3-folds bundles,NA,1
315--363,JJ,1
315--363 arXiv,NA,1
330--343,JJ,1
330--343 Ocampo,NA,1
335--368,JJ,1
335--368 Dijkgraaf,NA,1
33]Joyc4,CD,1
33]Joyc4 C-scheme@C,NA,1
359--363,JJ,1
359--363 Spiv,NA,1
35]Joyc4,CD,1
35]Joyc4 discuss,NA,1
367--438,JJ,1
367--438 math,NA,1
3= 28em,NA,1
3=f,CD,1
3=f ds3eq1,NA,1
3=g,CD,1
3=g 2ex>[rr],NA,1
3[dr],CD,1
"3[dr] g""[rr]",NA,1
3[r],CD,1
3[r] f=,NA,1
3]FOOO Kuranishi,NA,1
