word,pos,frequency
Chikin,NNP,3
Plopping,NNP,2
Chickens,NNP,1
plop,JJ,1
unless,IN,1
three,CD,1
steps,NNS,1
squawk,RB,1
squat,NN,1
repeat,NN,1
plop,VBP,1
involves,VBZ,1
ordered,VBN,1
following,VBG,1
fly,VB,1
don't,VBP,1
Tales,NNP,1
Scream,NNP,1
Scream,NN,1
Fly,NNP,1
waddle,JJ,1
