word,n_gram_score,pos,frequency,tf_idf,inf,match_count,volume_count,source
zero,2,CD,9,0.00801760729445,-0.00328373488251,13204197,1072994,1
Circular,2,NNP,8,0.00712676203951,-0.00299011163052,5956410,1186938,1
Fix,2,NNP,8,0.00712676203951,-0.00299011163052,5313414,1583554,1
Hahn-Banach,2,NNP,8,0.00712676203951,-0.00299011163052,1,1,1
column,2,NN,8,0.00712676203951,-0.00299011163052,15425069,1491744,1
commutative cross,10,VBP,8,0.00712676203951,-0.00299011163052,1,1,1
item,2,NN,8,0.00712676203951,-0.00299011163052,10313272,1386085,1
matrix polynomial,10,JJ,8,0.00712676203951,-0.00299011163052,3777,955,1
prove,2,VBP,8,0.00712676203951,-0.00299011163052,18413819,2464490,1
Klep,2,NNP,7,0.00623591678457,-0.00268701348112,1864,533,1
LMI,2,NNP,7,0.00623591678457,-0.00268701348112,31833,3339,1
Write,2,NNP,7,0.00623591678457,-0.00268701348112,31017478,2514650,1
assumption,2,NN,7,0.00623591678457,-0.00268701348112,10174663,1558747,1
ball,2,NN,7,0.00623591678457,-0.00268701348112,13418618,1654684,1
direct sum,10,NN,7,0.00623591678457,-0.00268701348112,99802,9385,1
finite,2,JJ,7,0.00623591678457,-0.00268701348112,5870570,553502,1
hence,2,NN,7,0.00623591678457,-0.00268701348112,13532930,1730329,1
holds,2,VBZ,7,0.00623591678457,-0.00268701348112,11737694,2236445,1
matrix convex,10,JJ,7,0.00623591678457,-0.00268701348112,1,1,1
minimal defining,10,VBG,7,0.00623591678457,-0.00268701348112,225,114,1
noncommutative,2,JJ,7,0.00623591678457,-0.00268701348112,28775,5778,1
separation,2,NN,7,0.00623591678457,-0.00268701348112,9919132,1595049,1
shows,2,NNS,7,0.00623591678457,-0.00268701348112,39234520,2727304,1
subset,2,NN,7,0.00623591678457,-0.00268701348112,1775648,257821,1
tuple,2,NN,7,0.00623591678457,-0.00268701348112,211450,21102,1
unitarily,2,RB,7,0.00623591678457,-0.00268701348112,14811,3022,1
Finally,2,NNP,6,0.00534507152963,-0.00237307814178,30122661,2675215,1
Free Circular,10,NNP,6,0.00534507152963,-0.00237307814178,1458,979,1
Furthermore,2,NNP,6,0.00534507152963,-0.00237307814178,9470662,1320978,1
Mathematics,2,NNP,6,0.00534507152963,-0.00237307814178,5232360,791522,1
Moreover,2,RB,6,0.00534507152963,-0.00237307814178,13930031,1543142,1
