word,n_gram_score,pos,frequency,match_count,volume_count,source,wordCount
subpencil,2,NN,6,1,1,1,19083
symmetric,2,JJ,6,1680971,161166,1,19083
whenever,2,WRB,6,9629291,2146817,1,19083
Linear,2,NNP,5,11614389,730698,1,19083
Note,2,NNP,5,37401375,2731620,1,19083
Sets,2,NNP,5,14297172,2215002,1,19083
Soc,2,NNP,5,8413752,351837,1,19083
Spectrahedra,2,NNP,5,1,1,1,19083
University,2,NNP,5,80244042,2388400,1,19083
Zal,2,NNP,5,24425,5135,1,19083
admissible,2,JJ,5,1248980,222067,1,19083
assumed,2,VBD,5,17743931,2265186,1,19083
basis,2,NN,5,39579430,2382168,1,19083
blocks,2,NNS,5,7724417,1470764,1,19083
circular free,10,JJ,5,795,583,1,19083
commutative,2,VBP,5,377849,40447,1,19083
complete,2,JJ,5,41202946,2932601,1,19083
complex,2,JJ,5,28491331,2037972,1,19083
contractions,2,NNS,5,1308426,223702,1,19083
distinct,2,JJ,5,15084408,2089300,1,19083
finite dimensional,10,JJ,5,82147,9789,1,19083
free spectrahedron,10,VBP,5,1,1,1,19083
interior,2,JJ,5,9586649,1490785,1,19083
irrational,2,JJ,5,1916556,630801,1,19083
maps,2,NNS,5,5458421,929038,1,19083
ncr,2,JJ,5,119424,24417,1,19083
nonzero,2,NN,5,694636,85365,1,19083
pair,2,NN,5,14077461,1939423,1,19083
pair,2,VBP,5,14077461,1939423,1,19083
paper,2,NN,5,43282488,2762904,1,19083
pencil ball,10,NN,5,1,1,1,19083
proof,2,JJ,5,15450745,2060173,1,19083
reducing subspace,10,NN,5,767,166,1,19083
separation theorem,10,NN,5,6442,2014,1,19083
sequence,2,NN,5,14320022,1333179,1,19083
shows,2,VBZ,5,39234520,2727304,1,19083
subspaces,2,NNS,5,156166,16918,1,19083
vectors,2,NNS,5,2851855,189336,1,19083
version,2,NN,5,15080989,1762849,1,19083
zero column,10,NN,5,2241,1414,1,19083
Assume,2,NNP,4,16153219,2239311,1,19083
Circular Free,10,NNP,4,795,583,1,19083
Convex,2,NNP,4,2228323,259897,1,19083
Convex Sets,10,NNP,4,27597,5399,1,19083
Define,2,NNP,4,10247176,1572617,1,19083
Department,2,NNP,4,27243899,1747044,1,19083
Effros-Winkler,2,NNP,4,1,1,1,19083
Free Spectrahedra,10,NNP,4,1,1,1,19083
Gleichstellensatz,2,NNP,4,1,1,1,19083
Hahn-Banach separation,10,NNP,4,1,1,1,19083
LMIs,2,NNP,4,3001,250,1,19083
Matrix Convex,10,NNP,4,1,1,1,19083
Observe,2,NNP,4,9631113,1925883,1,19083
Operator,2,NNP,4,7349983,786190,1,19083
analysis,2,NN,4,44572547,1899159,1,19083
block zero,10,NN,4,307,180,1,19083
circular free,10,NN,4,795,583,1,19083
compact,2,JJ,4,4420806,1036987,1,19083
consisting,2,VBG,4,7107831,1534001,1,19083
countable,2,JJ,4,249834,39317,1,19083
depending,2,VBG,4,8903644,1729598,1,19083
described,2,VBD,4,43834932,2650403,1,19083
detailed boundary,10,JJ,4,407,375,1,19083
elements,2,NNS,4,31361610,2214631,1,19083
evaluations,2,NNS,4,1791539,432278,1,19083
exactly,2,RB,4,20566476,2525051,1,19083
free matrix,10,JJ,4,1156,694,1,19083
freely,2,RB,4,7688283,1922468,1,19083
functional,2,JJ,4,9185715,928881,1,19083
generality,2,NN,4,956748,348630,1,19083
graded,2,VBD,4,1257416,408573,1,19083
homogeneous linear,10,VBP,4,26384,8452,1,19083
identity,2,NN,4,15454661,1616652,1,19083
integer,2,NN,4,2735939,166244,1,19083
isometry,2,NN,4,67130,6500,1,19083
loss,2,NN,4,37661378,2603383,1,19083
matrix convex,10,VBP,4,1,1,1,19083
monomial,2,JJ,4,90832,9560,1,19083
multiplication,2,NN,4,2382486,496109,1,19083
ncr,2,VBP,4,119424,24417,1,19083
needed,2,VBN,4,40487359,2804165,1,19083
noncommutative polynomials,10,NNS,4,163,92,1,19083
numbers,2,NNS,4,31059418,2518827,1,19083
operator pencil,10,IN,4,722,68,1,19083
orthogonal,2,JJ,4,1109478,108651,1,19083
orthonormal,2,JJ,4,213677,19568,1,19083
orthonormal basis,10,NN,4,70174,8991,1,19083
positive integer,10,NN,4,316619,46264,1,19083
product,2,NN,4,33708467,2013813,1,19083
proof,2,VBP,4,15450745,2060173,1,19083
proper,2,JJ,4,30183008,2619174,1,19083
relatively,2,RB,4,22273945,1852838,1,19083
relatively irrational,10,JJ,4,197,177,1,19083
result,2,NN,4,68380648,2849201,1,19083
self-adjoint,2,JJ,4,1882,686,1,19083
suffices,2,NNS,4,722985,302315,1,19083
superdiagonal,2,JJ,4,3477,1027,1,19083
suppose,2,JJ,4,17334126,1877454,1,19083
term,2,NN,4,51125203,2563357,1,19083
tuples,2,NNS,4,176717,18342,1,19083
types,2,NNS,4,32248489,2074844,1,19083
unit vector,10,NN,4,156704,29398,1,19083
unitaries,2,NNS,4,2046,428,1,19083
unitary matrix,10,JJ,4,22055,5146,1,19083
univariate,2,JJ,4,145581,24948,1,19083
Adv,2,NNP,3,1030491,41445,1,19083
Amer,2,NNP,3,3308841,264156,1,19083
Appendix,2,NNP,3,7199613,884384,1,19083
Applying,2,NNP,3,6030862,1492586,1,19083
Applying Lemma,10,NNP,3,5235,3011,1,19083
Ball,2,NNP,3,13418618,1654684,1,19083
Circular Matrix,10,NNP,3,229,158,1,19083
Corollary,2,NNP,3,849914,410027,1,19083
Effros,2,NNP,3,4965,1639,1,19083
Equation,2,NNP,3,20764464,783993,1,19083
Free,2,JJ,3,68139641,3033401,1,19083
Inequalities,2,NNP,3,1328660,345703,1,19083
Linear Matrix,10,NNP,3,3930,1991,1,19083
Paulsen,2,NNP,3,137825,40415,1,19083
Polynomials,2,NNP,3,821357,56760,1,19083
SIAM,2,NNP,3,475130,104356,1,19083
Theory,2,NNP,3,45553601,2130931,1,19083
admissible chain,10,VBP,3,1,1,1,19083
appears,2,VBZ,3,35115447,2567455,1,19083
argument,2,NN,3,20496385,2002041,1,19083
article,2,NN,3,18412235,1931676,1,19083
canonical,2,JJ,3,1302652,231144,1,19083
characterizing,2,VBG,3,649527,328395,1,19083
choice,2,NN,3,26337136,2616393,1,19083
classification,2,NN,3,7685180,1022951,1,19083
collection,2,NN,3,19014020,2254493,1,19083
commutative cross,10,NN,3,1,1,1,19083
completes,2,VBZ,3,1184745,537655,1,19083
consequence,2,NN,3,13329938,1852792,1,19083
contain,2,VBP,3,17598648,2254242,1,19083
continuous,2,JJ,3,13085338,1741783,1,19083
contraction,2,NN,3,3572593,518323,1,19083
contradiction,2,NN,3,3112236,897843,1,19083
define,2,VBP,3,10247176,1572617,1,19083
defining pencil,10,NN,3,1,1,1,19083
definition,2,NN,3,18359573,1720397,1,19083
described,2,VBN,3,43834932,2650403,1,19083
desired,2,VBD,3,16323643,2152284,1,19083
detailed,2,VBD,3,12203155,1955898,1,19083
domains,2,VBZ,3,2590051,452098,1,19083
effective,2,JJ,3,30469731,2171823,1,19083
empty,2,JJ,3,13268383,2124289,1,19083
evaluating,2,VBG,3,3035401,704975,1,19083
fixed,2,VBN,3,23349320,2407200,1,19083
free matrix,10,NN,3,1156,694,1,19083
g-tuples,2,NNS,3,1,1,1,19083
geometry,2,NN,3,3330623,472957,1,19083
gives,2,VBZ,3,34577949,2820363,1,19083
homogeneous linear,10,NN,3,26384,8452,1,19083
hypotheses,2,VBZ,3,2897982,500063,1,19083
hypothesis,2,NN,3,8850385,890869,1,19083
immediately,2,RB,3,31320769,2726552,1,19083
implies,2,VBZ,3,7638691,1388207,1,19083
inequality,2,NN,3,3271552,510296,1,19083
invariant,2,VBP,3,1390892,142375,1,19083
involution,2,NN,3,258460,60365,1,19083
irreducible,2,JJ,3,752622,157581,1,19083
isometric,2,JJ,3,336537,48301,1,19083
isometries,2,NNS,3,28789,3652,1,19083
itA,2,JJ,3,585433,127766,1,19083
itA,2,NN,3,585433,127766,1,19083
letters,2,NNS,3,26023033,2205145,1,19083
linear matrix,10,JJ,3,3930,1991,1,19083
location,2,NN,3,16012813,1727717,1,19083
matricial,2,JJ,3,2999,1029,1,19083
monic free,10,NN,3,1,1,1,19083
none,2,NN,3,24556783,2702063,1,19083
norm,2,JJ,3,2674501,645952,1,19083
notation,2,NN,3,2985982,460635,1,19083
observe,2,NN,3,9631113,1925883,1,19083
onto,2,IN,3,14920264,1666804,1,19083
operator pencil,10,NN,3,722,68,1,19083
orthogonal decomposition,10,NN,3,5427,2106,1,19083
pencil ball,10,JJ,3,1,1,1,19083
pencils,2,NNS,3,744576,333804,1,19083
permutation,2,NN,3,397521,69465,1,19083
positivity,2,NN,3,143655,40809,1,19083
projection,2,NN,3,3883434,707211,1,19083
prove item,10,NN,3,171,111,1,19083
respectively,2,RB,3,12303034,1484142,1,19083
results,2,NNS,3,55717697,2569241,1,19083
rotations,2,NNS,3,515824,126102,1,19083
satisfies,2,NNS,3,1926748,485558,1,19083
self-contained,2,JJ,3,608004,347740,1,19083
self-contained proof,10,JJ,3,445,381,1,19083
sets,2,VBZ,3,14297172,2215002,1,19083
space,2,NN,3,43438953,2689333,1,19083
span,2,NN,3,4048590,1104487,1,19083
standard,2,JJ,3,32393249,2321502,1,19083
standard orthonormal,10,JJ,3,755,417,1,19083
subsection,2,NN,3,1742244,129148,1,19083
subsets,2,NNS,3,711524,121844,1,19083
supported,2,VBD,3,15473754,2127822,1,19083
suppose,2,VBP,3,17334126,1877454,1,19083
system,2,NN,3,129453118,2818527,1,19083
systems,2,NNS,3,40336164,1848147,1,19083
theory,2,NN,3,45553601,2130931,1,19083
unit vector,10,JJ,3,156704,29398,1,19083
unitarily,2,JJ,3,14811,3022,1,19083
write,2,VBP,3,31017478,2514650,1,19083
AMS,2,NNP,2,328516,67023,1,19083
Additionally,2,RB,2,1750583,406468,1,19083
Anal,2,NNP,2,1391665,170629,1,19083
California,2,NNP,2,29685982,1797869,1,19083
Cambridge,2,NNP,2,15191305,1344091,1,19083
Choose,2,NNP,2,17598559,2354314,1,19083
Choosing,2,NNP,2,4512678,1478916,1,19083
Control,2,NNP,2,77492036,2733142,1,19083
DDSS,2,NNP,2,1326,399,1,19083
Equivalently,2,RB,2,226767,79491,1,19083
Evert,2,NNP,2,118409,34042,1,19083
Farenick,2,NNP,2,1,1,1,19083
Free Spectrahedron,10,NNP,2,1,1,1,19083
Function,2,NNP,2,53557898,2038564,1,19083
Hilbert,2,NNP,2,503755,43789,1,19083
Hilbert space,10,NNP,2,182612,12383,1,19083
Hilbert-Schmidt,2,NNP,2,1,1,1,19083
Invariant,2,NNP,2,1390892,142375,1,19083
KPTT,2,NNP,2,1,1,1,19083
LMI defining,10,NNP,2,1,1,1,19083
LMI defining,10,VBG,2,1,1,1,19083
Likewise,2,NNP,2,7163186,1330716,1,19083
London,2,NNP,2,53801160,2212019,1,19083
Mathematical,2,NNP,2,5846936,856757,1,19083
Matrix Inequalities,10,NNP,2,1312,522,1,19083
NSF,2,NNP,2,335797,63217,1,19083
NSF grant,10,NNP,2,13622,7323,1,19083
